news_org,title,summary,total_reactions,article_screenshot_s3_link,reactions_screenshot_s3_link,article_sc_date,reactions_sc_date,total_comments,total_shares,total_like,total_love,total_haha,total_wow,total_sad,total_angry,total_care,unrecognized_total,prompt_used_for_article_scrapping,prompt_used_for_reactions_scrapping
NY_Times,This Is What Shanghai’s Covid Outbreak Looks Like,"Hospitals are overcrowded. Funeral homes are inundated with mourners. Shanghai is being hit hard by China’s massive Covid wave. Up to 70% of the city’s 26 million residents have been infected, officials said last week. Here are scenes from the city.",736,https://nlp-project-screenshots.s3.amazonaws.com/NY_Times/Screenshot 2024-10-11 at 11.55.44 AM.png,https://nlp-project-screenshots.s3.amazonaws.com/NY_Times/Screenshot 2024-10-11 at 11.55.59 AM.png,2024-10-11 11:55:44,2024-10-11 11:55:59,137,136,369,3,5,91,243,8,17,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
NY_Times,Her Various Symptoms Seemed Unrelated. Then One Doctor Put It All Together. (Published 2018),"Her symptoms seemed like mismatched puzzle pieces. Luckily, a resident with a reputation for figuring such cases out was around.",868,https://nlp-project-screenshots.s3.amazonaws.com/NY_Times/Screenshot 2024-10-11 at 11.56.06 AM.png,https://nlp-project-screenshots.s3.amazonaws.com/NY_Times/Screenshot 2024-10-11 at 11.56.15 AM.png,2024-10-11 11:56:06,2024-10-11 11:56:15,123,46,804,27,2,25,1,1,8,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
NY_Times,"U.S. Carbon Emissions Grew in 2022, Even as Renewables Surpassed Coal","Breaking News: U.S. carbon emissions grew in 2022, estimates showed, even as renewable energy surpassed coal power for the first time in over six decades.",291,https://nlp-project-screenshots.s3.amazonaws.com/NY_Times/Screenshot 2024-10-11 at 11.56.24 AM.png,https://nlp-project-screenshots.s3.amazonaws.com/NY_Times/Screenshot 2024-10-11 at 11.56.32 AM.png,2024-10-11 11:56:24,2024-10-11 11:56:32,54,16,86,0,37,8,91,67,2,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
NY_Times,Defining Nonbinary Work Wear,"What do you wear to work as a nonbinary person? Many report unique pressures that accompany choosing a work outfit, while some consider it an opportunity for self-expression.",1.1K,https://nlp-project-screenshots.s3.amazonaws.com/NY_Times/Screenshot 2024-10-11 at 11.56.41 AM.png,https://nlp-project-screenshots.s3.amazonaws.com/NY_Times/Screenshot 2024-10-11 at 11.56.49 AM.png,2024-10-11 11:56:41,2024-10-11 11:56:49,880,58,615,129,366,1,2,3,5,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
NY_Times,Is Geometry a Language That Only Humans Know?,Neuroscientists are exploring whether shapes like squares and rectangles — and our ability to recognize them — are part of what makes our species special.,264,https://nlp-project-screenshots.s3.amazonaws.com/NY_Times/Screenshot 2024-10-11 at 11.56.58 AM.png,https://nlp-project-screenshots.s3.amazonaws.com/NY_Times/Screenshot 2024-10-11 at 11.57.07 AM.png,2024-10-11 11:56:58,2024-10-11 11:57:07,59,64,225,8,6,22,0,1,2,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
NY_Times,The Marcos-Duterte Ticket Won in the Philippines. Can Their Alliance Last?,"President Ferdinand Marcos Jr. of the Philippines hugged his vice-presidential running mate, Sara Duterte, at her inauguration in June. The moment marked two notorious families coming together after huge election wins. But their power balance is fragile.",103,https://nlp-project-screenshots.s3.amazonaws.com/NY_Times/Screenshot 2024-10-11 at 11.57.17 AM.png,https://nlp-project-screenshots.s3.amazonaws.com/NY_Times/Screenshot 2024-10-11 at 11.57.31 AM.png,2024-10-11 11:57:17,2024-10-11 11:57:31,44,15,60,3,20,7,5,7,1,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
NY_Times,Mega Millions Reaches $1.1 Billion After Nobody Wins Jackpot,"The Mega Millions jackpot has grown to $1.1 billion ahead of Tuesday night's drawing, the fifth largest lottery prize in U.S. history, officials said.",998,https://nlp-project-screenshots.s3.amazonaws.com/NY_Times/Screenshot 2024-10-11 at 11.57.37 AM.png,https://nlp-project-screenshots.s3.amazonaws.com/NY_Times/Screenshot 2024-10-11 at 11.58.02 AM.png,2024-10-11 11:57:37,2024-10-11 11:58:02,239,107,817,29,13,131,2,4,2,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
NY_Times,The Athletic,"From The Athletic: The Kevin Costner movie “For Love of the Game” deals with many of baseball’s timeless tropes: a passion for the sport, the difficulty of letting go. But the story behind the movie delves much deeper.",371,https://nlp-project-screenshots.s3.amazonaws.com/NY_Times/Screenshot 2024-10-11 at 11.58.15 AM.png,https://nlp-project-screenshots.s3.amazonaws.com/NY_Times/Screenshot 2024-10-11 at 11.58.24 AM.png,2024-10-11 11:58:15,2024-10-11 11:58:24,51,26,330,34,1,0,0,1,3,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
NY_Times,"Rain Swamps Southern California, and More Storms Are Expected","Torrential rain hit parts of California, causing flooding in the Los Angeles area that killed at least one person. Additional rain, including thunderstorms, is forecast for Tuesday, raising the risk of flash flooding and mudslides.",578,https://nlp-project-screenshots.s3.amazonaws.com/NY_Times/Screenshot 2024-10-11 at 11.58.31 AM.png,https://nlp-project-screenshots.s3.amazonaws.com/NY_Times/Screenshot 2024-10-11 at 11.58.40 AM.png,2024-10-11 11:58:31,2024-10-11 11:58:40,35,15,257,7,7,86,198,2,22,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
NY_Times,The Last 8 Years Were the Hottest on Record,"Breaking News: The last 8 years were the hottest on record, climate researchers said, with Europe experiencing its hottest summer in 2022.",449,https://nlp-project-screenshots.s3.amazonaws.com/NY_Times/Screenshot 2024-10-11 at 11.58.47 AM.png,https://nlp-project-screenshots.s3.amazonaws.com/NY_Times/Screenshot 2024-10-11 at 11.58.57 AM.png,2024-10-11 11:58:47,2024-10-11 11:58:57,213,60,169,4,64,31,168,9,4,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
