news_org,title,summary,total_reactions,article_screenshot_s3_link,reactions_screenshot_s3_link,article_sc_date,reactions_sc_date,total_comments,total_shares,total_like,total_love,total_haha,total_wow,total_sad,total_angry,total_care,unrecognized_total,prompt_used_for_article_scrapping,prompt_used_for_reactions_scrapping
Vanity_Fair,Kamala Harris on the Challenge of Being First,The vice president discusses protecting abortion rights post-Roe and tackling immigration.,19,https://nlp-project-screenshots.s3.amazonaws.com/Vanity_Fair/Screenshot 2024-10-13 at 3.21.13 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/Vanity_Fair/Screenshot 2024-10-13 at 3.21.21 PM.png,2024-10-13 15:21:13,2024-10-13 15:21:21,2,0,14,3,2,0,0,0,0,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
Vanity_Fair,How Ruth E. Carter Style an Underwater Wonderland in 'Wakanda Forever',"Oscar-winner Ruth Carter says the costumes for ‘Wakanda Forever’ are “a beautiful love letter” to Mayan, Aztec, and Guatemalan history and “a look into the possibilities of Latin futurism.”",35,https://nlp-project-screenshots.s3.amazonaws.com/Vanity_Fair/Screenshot 2024-10-13 at 3.21.27 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/Vanity_Fair/Screenshot 2024-10-13 at 3.21.32 PM.png,2024-10-13 15:21:27,2024-10-13 15:21:32,2,3,25,10,0,0,0,0,0,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
Vanity_Fair,Pretty in Pink: All the Rose-Colored Looks at the 2023 Golden Globes,Celebrities were in the mood for romance and already dressed to celebrate the season of lo...,52,https://nlp-project-screenshots.s3.amazonaws.com/Vanity_Fair/Screenshot 2024-10-13 at 3.21.40 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/Vanity_Fair/Screenshot 2024-10-13 at 3.21.44 PM.png,2024-10-13 15:21:40,2024-10-13 15:21:44,6,1,46,5,1,0,0,0,0,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
Vanity_Fair,"Michelle Yeoh Wins Best Actress, Comedy Award at the Golden Globes 2023","Michelle Yeoh declared, ""it's all been worth it,"" in her acceptance speech.",114,https://nlp-project-screenshots.s3.amazonaws.com/Vanity_Fair/Screenshot 2024-10-13 at 3.21.52 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/Vanity_Fair/Screenshot 2024-10-13 at 3.21.56 PM.png,2024-10-13 15:21:52,2024-10-13 15:21:56,0,2,78,34,0,0,0,0,2,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
Vanity_Fair,Golden Globes 2023: How the Show Addressed the Controversy,The Golden Globes wasted no time addressing the controversies that led to the show’s removal from NBC last year.,254,https://nlp-project-screenshots.s3.amazonaws.com/Vanity_Fair/Screenshot 2024-10-13 at 3.22.01 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/Vanity_Fair/Screenshot 2024-10-13 at 3.22.06 PM.png,2024-10-13 15:22:01,2024-10-13 15:22:06,167,8,224,11,8,2,2,6,1,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
Vanity_Fair,Jerrod Carmichael Opens the Golden Globes 2023 With Devastation and a Dose of Truth,Jerrod Carmichael brought back the Golden Globes with a vengeance.,211,https://nlp-project-screenshots.s3.amazonaws.com/Vanity_Fair/Screenshot 2024-10-13 at 3.22.13 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/Vanity_Fair/Screenshot 2024-10-13 at 3.22.18 PM.png,2024-10-13 15:22:13,2024-10-13 15:22:18,79,15,173,29,2,2,1,3,1,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
Vanity_Fair,"Colin Farrell, Austin Butler Win Best Actor Awards at the Golden Globes 2023","Colin Farrell and Austin Butler both took home new hardware, courtesy of the Golden Globes.",314,https://nlp-project-screenshots.s3.amazonaws.com/Vanity_Fair/Screenshot 2024-10-13 at 3.22.24 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/Vanity_Fair/Screenshot 2024-10-13 at 3.22.28 PM.png,2024-10-13 15:22:24,2024-10-13 15:22:28,8,8,252,62,0,0,0,0,0,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
Vanity_Fair,Michelle Yeoh won her first Golden Globe for ‘Everything Everywhere All At Once.’,"“I’m just going to stand here and take this all in,” she said as she took the stage.",9.1K,https://nlp-project-screenshots.s3.amazonaws.com/Vanity_Fair/Screenshot 2024-10-13 at 3.22.34 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/Vanity_Fair/Screenshot 2024-10-13 at 3.22.50 PM.png,2024-10-13 15:22:34,2024-10-13 15:22:50,152,347,6200,2800,13,8,0,5,74,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
Vanity_Fair,See All the Gothic Glam-Inspired Looks on the 2023 Golden Globes Red Carpet,The red carpet at the Golden Globes was a gothic affair.,18,https://nlp-project-screenshots.s3.amazonaws.com/Vanity_Fair/Screenshot 2024-10-13 at 3.23.28 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/Vanity_Fair/Screenshot 2024-10-13 at 3.23.33 PM.png,2024-10-13 15:23:28,2024-10-13 15:23:33,2,1,16,2,0,0,0,0,0,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
Vanity_Fair,The Best Dressed Celebrities of the 2023 Golden Globes,"From traditional tuxedos to dazzling designer dresses, see all the best looks from the Golden Globes red carpet:",15,https://nlp-project-screenshots.s3.amazonaws.com/Vanity_Fair/Screenshot 2024-10-13 at 3.23.40 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/Vanity_Fair/Screenshot 2024-10-13 at 3.23.44 PM.png,2024-10-13 15:23:40,2024-10-13 15:23:44,3,4,13,2,0,0,0,0,0,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
