news_org,title,summary,total_reactions,article_screenshot_s3_link,reactions_screenshot_s3_link,article_sc_date,reactions_sc_date,total_comments,total_shares,total_like,total_love,total_haha,total_wow,total_sad,total_angry,total_care,unrecognized_total,prompt_used_for_article_scrapping,prompt_used_for_reactions_scrapping
Los_Angeles_Times,UCLA women's soccer begins postseason defense of its national title vs. UC Irvine,Defending national champions UCLA will open the playoffs against UC Irvine on Friday. USC will play host to Grand Canyon in the first round.,30,https://nlp-project-screenshots.s3.amazonaws.com/Los_Angeles_Times/Screenshot 2024-10-16 at 9.40.36 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/Los_Angeles_Times/Screenshot 2024-10-16 at 9.40.40 PM.png,2024-10-16 21:40:36,2024-10-16 21:40:40,1,1,27,3,0,0,0,0,0,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
Los_Angeles_Times,Mandy Moore shows support for ex Andy Roddick on 20th anniversary of his U.S. Open win,"Mandy Moore posted a message of support for retired tennis champ Andy Roddick, her former partner, on the 20th anniversary of his U.S. Open win.",100,https://nlp-project-screenshots.s3.amazonaws.com/Los_Angeles_Times/Screenshot 2024-10-16 at 9.00.19 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/Los_Angeles_Times/Screenshot 2024-10-16 at 9.00.26 PM.png,2024-10-16 21:00:19,2024-10-16 21:00:26,3,2,96,4,0,0,0,0,0,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
Los_Angeles_Times,"Tiffani Thiessen fed me fried chicken, cheesy enchiladas, beef jerky and a Michelin tasting menu. We had leftovers",The 'Saved by the Bell' icon's food crawl began with Southern-fried fringles and ended with Michelin chocolate cake. No wonder her new cookbook levels up leftovers,65,https://nlp-project-screenshots.s3.amazonaws.com/Los_Angeles_Times/Screenshot 2024-10-16 at 9.35.43 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/Los_Angeles_Times/Screenshot 2024-10-16 at 9.35.46 PM.png,2024-10-16 21:35:43,2024-10-16 21:35:46,4,1,60,5,0,0,0,0,0,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
Los_Angeles_Times,Sneaky pop.' How undersized Mookie Betts became baseball's unlikeliest home run slugger,"At 5 feet 9 and 180 pounds, Mookie Betts doesn't have the build of typical power hitter, but the Dodgers star finds a way to send the ball flying.",91,https://nlp-project-screenshots.s3.amazonaws.com/Los_Angeles_Times/Screenshot 2024-10-16 at 8.57.05 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/Los_Angeles_Times/Screenshot 2024-10-16 at 8.57.09 PM.png,2024-10-16 20:57:05,2024-10-16 20:57:09,12,7,76,15,0,0,0,0,0,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
Los_Angeles_Times,All the neighbors know who she is': How one woman built a flower farm across eight yards,"During the pandemic, Rachel Nafis worked as an ER nurse. Burned out, she turned to flower farming and learned that being a florist is about more than just flowers.",130,https://nlp-project-screenshots.s3.amazonaws.com/Los_Angeles_Times/Screenshot 2024-10-16 at 8.56.03 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/Los_Angeles_Times/Screenshot 2024-10-16 at 8.56.07 PM.png,2024-10-16 20:56:03,2024-10-16 20:56:07,8,14,105,25,0,0,0,0,0,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
Los_Angeles_Times,USC spring football game: New-look defense starts slowly but picks up speed,USC's revamped defense got off to a slow start against quarterback Caleb Williams and the offense but showed signs of progress during the spring game.,84,https://nlp-project-screenshots.s3.amazonaws.com/Los_Angeles_Times/Screenshot 2024-10-16 at 4.08.35 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/Los_Angeles_Times/Screenshot 2024-10-16 at 4.08.41 PM.png,2024-10-16 16:08:35,2024-10-16 16:08:41,1,1,82,1,1,0,0,0,0,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
Los_Angeles_Times,Q&A: What USC's hearing before NLRB could mean for the future of college athletics,A hearing to determine whether the NCAA and the Pac-12 must reclassify USC football and basketball athletes as employees could have significant ramifications for college sports.,37,https://nlp-project-screenshots.s3.amazonaws.com/Los_Angeles_Times/Screenshot 2024-10-16 at 9.40.21 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/Los_Angeles_Times/Screenshot 2024-10-16 at 9.40.27 PM.png,2024-10-16 21:40:21,2024-10-16 21:40:27,5,3,34,2,1,0,0,0,0,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
Los_Angeles_Times,The L.A. Phil just finished its best fall season in memory. How three maestros made magic,"Gustavo Dudamel, Esa-Pekka Salonen and Zubin Mehta prove just how much tradition can propel innovation.",40,https://nlp-project-screenshots.s3.amazonaws.com/Los_Angeles_Times/Screenshot 2024-10-16 at 9.56.15 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/Los_Angeles_Times/Screenshot 2024-10-16 at 9.56.21 PM.png,2024-10-16 21:56:15,2024-10-16 21:56:21,6,3,36,3,1,0,0,0,0,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
Los_Angeles_Times,Sega of America employees vote to unionize,"Employees at Sega, known for titles such as Sonic the Hedgehog, voted to unionize, forming the largest multi-departmental video game union in the U.S.",20,https://nlp-project-screenshots.s3.amazonaws.com/Los_Angeles_Times/Screenshot 2024-10-16 at 8.46.21 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/Los_Angeles_Times/Screenshot 2024-10-16 at 8.46.26 PM.png,2024-10-16 20:46:21,2024-10-16 20:46:26,4,4,15,4,1,0,0,0,0,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
Los_Angeles_Times,Martin Scorsese doesn't get Quentin Tarantino's plan to retire: 'I’m curious about everything still',"Martin Scorsese weighs in on how he is 'built differently' than director Quentin Tarantino, who plans to retire after completing his 10th feature film.",26,https://nlp-project-screenshots.s3.amazonaws.com/Los_Angeles_Times/Screenshot 2024-10-16 at 9.32.42 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/Los_Angeles_Times/Screenshot 2024-10-16 at 9.32.46 PM.png,2024-10-16 21:32:42,2024-10-16 21:32:46,9,2,20,5,1,0,0,0,0,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
